都府県地方番号,都府県地方名,地点区分,地点番号,地点名,地点名カナ,緯度,経度,標高,降水量,気温,風,日照,積雪,湿度,終了年月日,備考
20,十勝地方,a,1211,更別,サラベツ,42.651667,143.195000,185,1,1,1,2,0,0,99999999,
20,十勝地方,a,1214,大津,オオツ,42.686667,143.646667,4,1,1,1,2,0,0,99999999,
20,十勝地方,a,1286,糠内,ヌカナイ,42.786667,143.328333,70,1,1,1,2,0,0,99999999,
20,十勝地方,a,1404,小利別,ショウトシベツ,43.588333,143.680000,313,1,0,0,0,0,0,99999999,
20,十勝地方,a,1405,押帯,オショップ,43.115000,143.443333,104,1,0,0,0,0,0,99999999,
20,十勝地方,a,1409,柏倉,カシワクラ,43.361667,143.458333,378,1,0,0,0,0,0,99999999,
20,十勝地方,a,1410,上螺湾,カミラワン,43.318333,143.801667,232,1,0,0,0,0,0,99999999,
20,十勝地方,a,1418,留真,ルシン,42.916667,143.661667,40,1,0,0,0,0,0,99999999,
20,十勝地方,a,1510,帯広泉,オビヒロイズミ,42.733333,143.216667,149,1,1,1,0,1,0,99999999,
20,十勝地方,a,1571,三股,ミツマタ,43.510000,143.148333,660,1,0,0,0,0,0,99999999,
21,胆振地方,a,0123,安平,アビラ,42.813333,141.828333,32,1,0,0,0,1,0,99999999,
21,胆振地方,a,0124,厚真,アツマ,42.730000,141.888333,20,1,1,1,2,0,0,99999999,
21,胆振地方,a,0125,穂別,ホベツ,42.761667,142.143333,56,1,1,1,2,1,1,99999999,
21,胆振地方,a,0126,森野,モリノ,42.630000,141.246667,170,1,1,1,2,0,1,99999999,
21,胆振地方,s,47424,苫小牧,トマコマイ,42.623333,141.546667,6.3,1,1,1,1,1,1,99999999,
21,胆振地方,a,0128,大岸,オオキシ,42.590000,140.643333,4,1,1,1,2,1,1,99999999,
21,胆振地方,a,0129,有珠山,ウスサン,42.531667,140.853333,281,1,0,0,0,0,0,19841011,
21,胆振地方,a,0130,白老,シラオイ,42.543333,141.351667,6,1,1,1,2,1,0,99999999,
21,胆振地方,a,0131,鵡川,ムカワ,42.590000,141.933333,10,1,1,1,2,0,0,99999999,
21,胆振地方,a,0132,伊達,ダテ,42.475000,140.848333,3,1,1,1,2,0,0,99999999,
21,胆振地方,a,0133,登別山,ノボリベツヤマ,42.500000,141.121667,579,1,0,0,0,0,0,19850627,
21,胆振地方,a,0134,登別,ノボリベツ,42.458333,141.118333,197,1,1,1,2,1,0,99999999,
21,胆振地方,s,47423,室蘭,ムロラン,42.311667,140.975000,39.9,1,1,1,1,1,1,99999999,
21,胆振地方,a,1067,大滝,オオタキ,42.670000,141.078333,390,1,1,1,2,1,1,99999999,
21,胆振地方,a,1329,洞爺湖温泉,トウヤコオンセン,42.565000,140.806667,85,1,0,0,0,1,0,99999999,
21,胆振地方,a,1429,カルルス,カルルス,42.516667,141.106667,300,1,0,0,0,0,0,99999999,
21,胆振地方,a,1496,豊浦,トヨウラ,42.583333,140.708333,5,1,0,0,0,0,0,20000823,
21,胆振地方,a,1498,花和,ハナワ,42.616667,140.756667,282,1,0,0,0,0,0,20000629,
21,胆振地方,a,1499,虻田,アブタ,42.550000,140.766667,15,1,0,0,0,0,0,20021209,
21,胆振地方,a,1500,壮瞥,ソウベツ,42.555000,140.853333,110,1,0,0,0,0,0,20040401,
21,胆振地方,a,1501,入江,イリエ,42.543333,140.785000,38,1,0,0,0,0,0,20040401,
21,胆振地方,a,1502,月浦,ツキウラ,42.591667,140.788333,97,1,0,0,0,0,0,20000823,
21,胆振地方,a,1503,北有珠,キタウス,42.521667,140.833333,165,1,0,0,0,0,0,20000823,
21,胆振地方,a,1504,洞爺湖畔,トウヤコハン,42.568333,140.801667,105,1,0,0,0,0,0,20001206,
21,胆振地方,a,1665,厚真幌内,アツマホロナイ,42.735000,141.996667,73,1,0,0,0,0,0,20181120,
